Number,Title,Question,Answer
54,Build Ethical AI by Considering the Consequences if your AI mistakes!,What are ethical concerns I should heed while building my AI technology?,Consequences of Low Accuracy
55,Define your Brand Voice in Chat-Bot RFPs,What should be Included in a Customer-Service Chat-Bot RFP,"Style, tone, and brand voice"
56,Protect User Privacy by Minimizing Third Party AI Tools,How to protect users privacy while building AI?,Minimize third party tools
57,Include Historical Data in Chat-Bot RFPs,What should be Included in a Customer-Service Chat-Bot RFP,Historical contact center data
58,How to Prioritizing AI Research,What does an experimental development process look like for AI?,How to prioritize research avenues for AI tech
59,Double your Small Business with Grassroots AI Adoption,How can I use AI at my small business?,Double your teams productivity by giving them freedom to adopt AI tools at the grassroots
60,Build IP-Valuable AI Datasets through Manual Collection,How do I build a dataset that is valuable intellectual property?,Collect it manually
61,Protect your AI Product with Expert Red Teaming,How to protect your AI from social manipulation?,Hire people to red team your system
62,Crafting High-Quality AI Datasets: Consider Invariants,What are some considerations when building a high quality AI dataset?,"Backgrounds, noise, angle, style, etc.."
63,Build Great AI Datasets by Focusing on Edge-Cases,What are some considerations when building a high quality AI dataset?,Insufficient quantity of edge-case or unusual samples
64,Prevent AI Catastrophes by Red-Teaming your AI Tech,How can I mitigate risks in my AI project?,Hire people to red-team your AI technology
65,Get Free Data for your Startup through web-scraping,Where can I find free data for my startup?,Scrape it Yourself
66,Measure your AI on the Real-World to Prevent Busted Deadlines,What is a risk that could cause an AI project deadline to get missed?,Different results in real world v.s. laboratory
67,Watch out for Magical Promises from AI Vendors,What are some red flags to look out for when hiring an AI vendor,Overpromising
68,Improve AI Quality with Flexible and Nimble Project Scopes,How can I improve quality when working with third party engineers?,Don’t try to plan and lock-in scope upfront
69,Mitigate AI Risks with Rigorous Testing and Validation Protocols,How can I mitigate risks in my AI project?,Implement rigorous testing and validation protocols
70,Build Valuable AI Datasets by Offering a Human Service,How do I build a dataset that is valuable intellectual property?,Offer a unique service
71,Prevent Failed AI Projects by Staying Flexible,How can I mitigate risks in my AI project?,Be flexible on the project plan
72,Beware of AI vendors that aren’t transparent,What are some red flags to look out for when hiring an AI vendor,Lack of transparency about their technology
73,Improve AI Product Quality with Direct Customer Feedback,How should I use feedback to improve my AI product?,Solicit direct user feedback to get the customers perspective
74,Use AI to Improve Customer Service at your Small Business,How can I use AI at my small business?,Improve customer service quality
75,How to select a metric when conducting AI research,What does an experimental development process look like for AI?,How to select a metric when conducting AI research
76,Improve Quality with Third Party Engineers by Making Automated Tests an Explicit Deliverable,How can I improve quality when working with third party engineers?,Call out automated tests as an explicit deliverable
77,Use AI to Scale your Small Business Marketing Dramatically,How can I use AI at my small business?,Scale up your marketing to a whole new level
78,Watch out for Infrastructure Problems Busting your AI Project Deadline,What is a risk that could cause an AI project deadline to get missed?,Deployment and Infrastructure Issues
79,Live a Happier Life by Automating Tedious Office Tasks with AI at your Small Business,How can I use AI at my small business?,Automate the tedious office tasks
80,Build Ethical AI by designing for Accountability,What are ethical concerns I should heed while building my AI technology?,Accountability
